city,timestamp,temperature,season
New York,2010-01-01,4.98245711858502,winter
New York,2010-01-02,7.545022417743112,winter
New York,2010-01-03,-8.810391612357073,winter
New York,2010-01-04,-0.5964613315023202,winter
New York,2010-01-05,2.8111571502810278,winter
New York,2010-01-06,-4.432347637294826,winter
New York,2010-01-07,-5.269599050213878,winter
New York,2010-01-08,-4.785893610738457,winter
New York,2010-01-09,-10.39881954775347,winter
New York,2010-01-10,-12.456586669272042,winter
New York,2010-01-11,-1.642717933479738,winter
New York,2010-01-12,-4.4908583993622875,winter
New York,2010-01-13,8.036349065978726,winter
New York,2010-01-14,5.993587250982285,winter
New York,2010-01-15,7.069516086960573,winter
New York,2010-01-16,-8.138362325871146,winter
New York,2010-01-17,2.746165241899675,winter
New York,2010-01-18,4.797014276396202,winter
New York,2010-01-19,3.2150019037356303,winter
New York,2010-01-20,7.176869174223986,winter
New York,2010-01-21,1.2416772912559197,winter
New York,2010-01-22,3.4819177550106466,winter
New York,2010-01-23,-0.4823063009267234,winter
New York,2010-01-24,-0.2702188320691017,winter
New York,2010-01-25,-0.5250033672613549,winter
New York,2010-01-26,4.830340872259139,winter
New York,2010-01-27,-0.755712774177991,winter
New York,2010-01-28,-4.496435987701421,winter
New York,2010-01-29,0.9757366519362755,winter
New York,2010-01-30,-2.482523978082546,winter
New York,2010-01-31,0.4119647364921649,winter
New York,2010-02-01,1.1976500044643665,winter
New York,2010-02-02,-9.280682116721653,winter
New York,2010-02-03,-6.928586488950719,winter
New York,2010-02-04,5.734047539254345,winter
New York,2010-02-05,3.639823943874188,winter
New York,2010-02-06,-1.6771993735263793,winter
New York,2010-02-07,7.539366767858374,winter
New York,2010-02-08,6.981043567619186,winter
New York,2010-02-09,0.43988766732412987,winter
New York,2010-02-10,-1.30117255402916,winter
New York,2010-02-11,6.566767312588269,winter
New York,2010-02-12,0.6856984302967483,winter
New York,2010-02-13,-0.19899436499004242,winter
New York,2010-02-14,-1.2833792859059767,winter
